 x/h, U+, V+
  2.45437E-02  3.44634E-01 -4.79285E-03
  7.36311E-02  3.35989E-01 -7.74689E-03
  1.22718E-01  3.28117E-01 -7.38120E-03
  1.71806E-01  3.21886E-01 -4.65983E-03
  2.20893E-01  3.17442E-01 -1.13621E-03
  2.69981E-01  3.14678E-01  2.03072E-03
  3.19068E-01  3.13403E-01  4.42155E-03
  3.68155E-01  3.13337E-01  6.09132E-03
  4.17243E-01  3.14141E-01  7.20624E-03
  4.66330E-01  3.15470E-01  7.90062E-03
  5.15418E-01  3.16983E-01  8.32334E-03
  5.64505E-01  3.18318E-01  8.67770E-03
  6.13592E-01  3.19067E-01  9.14693E-03
  6.62680E-01  3.18737E-01  9.78578E-03
  7.11767E-01  3.16676E-01  1.05114E-02
  7.60854E-01  3.12140E-01  1.12069E-02
  8.09942E-01  3.04827E-01  1.18552E-02
  8.59029E-01  2.95582E-01  1.26743E-02
  9.08117E-01  2.86374E-01  1.42097E-02
  9.57204E-01  2.79229E-01  1.71603E-02
  1.00629E+00  2.75371E-01  2.18280E-02
  1.05538E+00  2.75807E-01  2.76503E-02
  1.10447E+00  2.82451E-01  3.34153E-02
  1.15355E+00  2.97794E-01  3.78760E-02
  1.20264E+00  3.22707E-01  3.98649E-02
  1.25173E+00  3.54588E-01  3.82420E-02
  1.30082E+00  3.88124E-01  3.29702E-02
  1.34990E+00  4.17731E-01  2.57986E-02
  1.39899E+00  4.39115E-01  1.83217E-02
  1.44808E+00  4.49414E-01  1.03631E-02
  1.49717E+00  4.47250E-01  1.11948E-03
  1.54625E+00  4.33585E-01 -9.26291E-03
  1.59534E+00  4.12998E-01 -1.93039E-02
  1.64443E+00  3.93254E-01 -2.66385E-02
  1.69351E+00  3.81385E-01 -2.93128E-02
  1.74260E+00  3.79289E-01 -2.72969E-02
  1.79169E+00  3.83825E-01 -2.23247E-02
  1.84078E+00  3.90572E-01 -1.62395E-02
  1.88986E+00  3.96647E-01 -1.00491E-02
  1.93895E+00  4.01093E-01 -4.22471E-03
  1.98804E+00  4.04213E-01  7.69122E-04
  2.03713E+00  4.06934E-01  4.34148E-03
  2.08621E+00  4.10319E-01  5.99092E-03
  2.13530E+00  4.15163E-01  5.57943E-03
  2.18439E+00  4.21734E-01  3.40884E-03
  2.23348E+00  4.29791E-01  5.69909E-05
  2.28256E+00  4.38852E-01 -3.82541E-03
  2.33165E+00  4.48410E-01 -7.56740E-03
  2.38074E+00  4.57765E-01 -1.04936E-02
  2.42983E+00  4.65662E-01 -1.21319E-02
  2.47891E+00  4.70494E-01 -1.24760E-02
  2.52800E+00  4.71159E-01 -1.19655E-02
  2.57709E+00  4.67338E-01 -1.12585E-02
  2.62618E+00  4.58925E-01 -1.10212E-02
  2.67526E+00  4.46618E-01 -1.15323E-02
  2.72435E+00  4.33940E-01 -1.22345E-02
  2.77344E+00  4.26525E-01 -1.22779E-02
  2.82252E+00  4.26646E-01 -1.20181E-02
  2.87161E+00  4.29194E-01 -1.29135E-02
  2.92070E+00  4.24825E-01 -1.47429E-02
  2.96979E+00  4.07168E-01 -1.38699E-02
  3.01887E+00  3.78623E-01 -5.95628E-03
  3.06796E+00  3.50010E-01  9.34563E-03
  3.11705E+00  3.32412E-01  2.66594E-02
  3.16614E+00  3.29399E-01  3.73627E-02
  3.21522E+00  3.37999E-01  3.52168E-02
  3.26431E+00  3.54173E-01  2.15854E-02
  3.31340E+00  3.73816E-01  4.01697E-03
  3.36249E+00  3.93317E-01 -8.80185E-03
  3.41157E+00  4.12005E-01 -9.21261E-03
  3.46066E+00  4.24112E-01  3.65644E-03
  3.50975E+00  4.15323E-01  2.08849E-02
  3.55884E+00  3.82123E-01  3.42445E-02
  3.60792E+00  3.41919E-01  4.09595E-02
  3.65701E+00  3.14813E-01  3.94012E-02
  3.70610E+00  3.07231E-01  3.00216E-02
  3.75518E+00  3.15325E-01  1.72689E-02
  3.80427E+00  3.34127E-01  6.24869E-03
  3.85336E+00  3.60269E-01 -6.24703E-04
  3.90245E+00  3.90401E-01 -3.75961E-03
  3.95153E+00  4.20431E-01 -4.71283E-03
  4.00062E+00  4.46343E-01 -4.96048E-03
  4.04971E+00  4.65613E-01 -5.49123E-03
  4.09880E+00  4.78100E-01 -6.33096E-03
  4.14788E+00  4.85246E-01 -6.64271E-03
  4.19697E+00  4.88097E-01 -5.76350E-03
  4.24606E+00  4.85648E-01 -3.88037E-03
  4.29515E+00  4.75136E-01 -2.02646E-03
  4.34423E+00  4.54627E-01 -1.32244E-03
  4.39332E+00  4.25087E-01 -1.70510E-03
  4.44241E+00  3.90816E-01 -1.94400E-03
  4.49150E+00  3.58983E-01 -7.54438E-04
  4.54058E+00  3.36481E-01  2.31385E-03
  4.58967E+00  3.26105E-01  6.31245E-03
  4.63876E+00  3.26914E-01  9.61019E-03
  4.68785E+00  3.37067E-01  1.12275E-02
  4.73693E+00  3.55080E-01  1.11741E-02
  4.78602E+00  3.79389E-01  1.00303E-02
  4.83511E+00  4.07819E-01  8.45239E-03
  4.88419E+00  4.37760E-01  6.90575E-03
  4.93328E+00  4.66710E-01  5.66322E-03
  4.98237E+00  4.92618E-01  4.88355E-03
  5.03146E+00  5.13918E-01  4.59092E-03
  5.08054E+00  5.29602E-01  4.61995E-03
  5.12963E+00  5.39513E-01  4.71434E-03
  5.17872E+00  5.44531E-01  4.74222E-03
  5.22781E+00  5.46197E-01  4.78093E-03
  5.27689E+00  5.45981E-01  5.01556E-03
  5.32598E+00  5.44842E-01  5.61845E-03
  5.37507E+00  5.43353E-01  6.62495E-03
  5.42416E+00  5.42085E-01  7.75346E-03
  5.47324E+00  5.41845E-01  8.46027E-03
  5.52233E+00  5.43497E-01  8.43834E-03
  5.57142E+00  5.47191E-01  7.95716E-03
  5.62051E+00  5.51814E-01  7.37708E-03
  5.66959E+00  5.55928E-01  6.64784E-03
  5.71868E+00  5.58675E-01  6.07047E-03
  5.76777E+00  5.57202E-01  7.00224E-03
  5.81686E+00  5.44204E-01  1.02625E-02
  5.86594E+00  5.13658E-01  1.44106E-02
  5.91503E+00  4.69397E-01  1.72082E-02
  5.96412E+00  4.23062E-01  1.77342E-02
  6.01320E+00  3.83751E-01  1.57542E-02
  6.06229E+00  3.53541E-01  1.00627E-02
  6.11138E+00  3.33365E-01 -3.16031E-04
  6.16047E+00  3.28963E-01 -1.15081E-02
  6.20955E+00  3.44726E-01 -1.45432E-02
  6.25864E+00  3.72861E-01 -5.40506E-03
  6.30773E+00  3.97583E-01  9.12601E-03
  6.35682E+00  4.08230E-01  1.90784E-02
  6.40590E+00  4.03088E-01  1.99982E-02
  6.45499E+00  3.86047E-01  1.51632E-02
  6.50408E+00  3.63279E-01  1.12764E-02
  6.55317E+00  3.40676E-01  1.13943E-02
  6.60225E+00  3.22552E-01  1.30779E-02
  6.65134E+00  3.11337E-01  1.35293E-02
  6.70043E+00  3.06992E-01  1.32951E-02
  6.74952E+00  3.07076E-01  1.47857E-02
  6.79860E+00  3.08237E-01  1.94951E-02
  6.84769E+00  3.08130E-01  2.68043E-02
  6.89678E+00  3.06483E-01  3.46702E-02
  6.94587E+00  3.04764E-01  4.10261E-02
  6.99495E+00  3.05047E-01  4.47403E-02
  7.04404E+00  3.08950E-01  4.58204E-02
  7.09313E+00  3.17172E-01  4.49868E-02
  7.14221E+00  3.29659E-01  4.29846E-02
  7.19130E+00  3.45809E-01  4.01190E-02
  7.24039E+00  3.64241E-01  3.61844E-02
  7.28948E+00  3.82549E-01  3.07263E-02
  7.33856E+00  3.97834E-01  2.35858E-02
  7.38765E+00  4.07882E-01  1.53252E-02
  7.43674E+00  4.12206E-01  7.08767E-03
  7.48583E+00  4.12114E-01  1.19251E-04
  7.53491E+00  4.09595E-01 -4.63394E-03
  7.58400E+00  4.05902E-01 -6.77852E-03
  7.63309E+00  4.01129E-01 -6.53520E-03
  7.68218E+00  3.94916E-01 -4.54915E-03
  7.73126E+00  3.87226E-01 -1.58740E-03
  7.78035E+00  3.78518E-01  1.69856E-03
  7.82944E+00  3.69538E-01  4.89087E-03
  7.87853E+00  3.61090E-01  7.80471E-03
  7.92761E+00  3.53909E-01  1.03959E-02
  7.97670E+00  3.48578E-01  1.26551E-02
  8.02579E+00  3.45495E-01  1.45653E-02
  8.07487E+00  3.44842E-01  1.61253E-02
  8.12396E+00  3.46598E-01  1.73931E-02
  8.17305E+00  3.50585E-01  1.85219E-02
  8.22214E+00  3.56491E-01  1.97672E-02
  8.27122E+00  3.63877E-01  2.13905E-02
  8.32031E+00  3.72213E-01  2.34424E-02
  8.36940E+00  3.81020E-01  2.55919E-02
  8.41849E+00  3.90040E-01  2.72026E-02
  8.46757E+00  3.99301E-01  2.76318E-02
  8.51666E+00  4.09030E-01  2.65344E-02
  8.56575E+00  4.19483E-01  2.39765E-02
  8.61484E+00  4.30790E-01  2.03155E-02
  8.66392E+00  4.42918E-01  1.59985E-02
  8.71301E+00  4.55711E-01  1.14698E-02
  8.76210E+00  4.68947E-01  7.19330E-03
  8.81119E+00  4.82386E-01  3.64221E-03
  8.86027E+00  4.95804E-01  1.16669E-03
  8.90936E+00  5.09008E-01 -1.77620E-04
  8.95845E+00  5.21800E-01 -6.79654E-04
  9.00754E+00  5.34012E-01 -8.22114E-04
  9.05662E+00  5.45644E-01 -1.02430E-03
  9.10571E+00  5.56969E-01 -1.43821E-03
  9.15480E+00  5.68398E-01 -1.86873E-03
  9.20388E+00  5.80005E-01 -1.87859E-03
  9.25297E+00  5.91038E-01 -1.14481E-03
  9.30206E+00  5.99997E-01  1.49926E-04
  9.35115E+00  6.05586E-01  1.27132E-03
  9.40023E+00  6.07929E-01  1.18601E-03
  9.44932E+00  6.08908E-01 -1.19085E-03
  9.49841E+00  6.11112E-01 -6.58846E-03
  9.54750E+00  6.16135E-01 -1.44970E-02
  9.59658E+00  6.23463E-01 -2.24447E-02
  9.64567E+00  6.30979E-01 -2.67956E-02
  9.69476E+00  6.36545E-01 -2.50485E-02
  9.74385E+00  6.38163E-01 -1.76591E-02
  9.79293E+00  6.32812E-01 -7.72200E-03
  9.84202E+00  6.17659E-01  1.18747E-03
  9.89111E+00  5.93213E-01  6.96492E-03
  9.94020E+00  5.63901E-01  9.24973E-03
  9.98928E+00  5.35414E-01  8.68740E-03
  1.00384E+01  5.11938E-01  6.33148E-03
  1.00875E+01  4.95216E-01  3.29098E-03
  1.01365E+01  4.85015E-01  4.27835E-04
  1.01856E+01  4.79911E-01 -1.74287E-03
  1.02347E+01  4.78044E-01 -3.05384E-03
  1.02838E+01  4.77608E-01 -3.71418E-03
  1.03329E+01  4.76955E-01 -4.03362E-03
  1.03820E+01  4.74792E-01 -4.10678E-03
  1.04311E+01  4.70339E-01 -4.01933E-03
  1.04802E+01  4.63108E-01 -3.82086E-03
  1.05292E+01  4.52938E-01 -3.15234E-03
  1.05783E+01  4.40174E-01 -1.71003E-03
  1.06274E+01  4.25019E-01  2.11375E-04
  1.06765E+01  4.07167E-01  2.17584E-03
  1.07256E+01  3.87036E-01  3.64999E-03
  1.07747E+01  3.66601E-01  3.75845E-03
  1.08238E+01  3.47939E-01  2.91927E-03
  1.08729E+01  3.31505E-01  3.94074E-03
  1.09219E+01  3.16469E-01  8.78239E-03
  1.09710E+01  3.01971E-01  1.57688E-02
  1.10201E+01  2.87952E-01  2.12278E-02
  1.10692E+01  2.76621E-01  2.05247E-02
  1.11183E+01  2.72370E-01  9.82822E-03
  1.11674E+01  2.76665E-01 -9.73195E-03
  1.12165E+01  2.85288E-01 -3.16782E-02
  1.12656E+01  2.95498E-01 -4.89527E-02
  1.13146E+01  3.11502E-01 -5.53748E-02
  1.13637E+01  3.37912E-01 -4.29389E-02
  1.14128E+01  3.64845E-01 -1.86293E-02
  1.14619E+01  3.69730E-01 -5.15172E-03
  1.15110E+01  3.48638E-01 -5.95728E-03
  1.15601E+01  3.29830E-01 -7.79708E-03
  1.16092E+01  3.43407E-01 -1.03118E-03
  1.16583E+01  3.89431E-01  1.74369E-02
  1.17073E+01  4.42779E-01  4.58237E-02
  1.17564E+01  4.75008E-01  7.20677E-02
  1.18055E+01  4.68980E-01  8.29103E-02
  1.18546E+01  4.26644E-01  7.58427E-02
  1.19037E+01  3.65290E-01  5.74117E-02
  1.19528E+01  3.07022E-01  3.75414E-02
  1.20019E+01  2.68192E-01  2.42378E-02
  1.20510E+01  2.52663E-01  1.95001E-02
  1.21000E+01  2.54822E-01  2.05107E-02
  1.21491E+01  2.67433E-01  2.36951E-02
  1.21982E+01  2.85313E-01  2.67643E-02
  1.22473E+01  3.04949E-01  2.86562E-02
  1.22964E+01  3.23628E-01  2.88493E-02
  1.23455E+01  3.39224E-01  2.69161E-02
  1.23946E+01  3.50321E-01  2.26186E-02
  1.24437E+01  3.56171E-01  1.62399E-02
  1.24927E+01  3.56609E-01  8.64844E-03
  1.25418E+01  1.77745E-01  1.12509E-03
